jlpt,kanji
n5,日
n5,一
n5,国
n5,人
n5,年
n5,大
n5,十
n5,二
n5,本
n5,中
n5,長
n5,出
n5,三
n5,時
n5,行
n5,見
n5,月
n5,後
n5,前
n5,生
n5,五
n5,間
n5,上
n5,東
n5,四
n5,今
n5,金
n5,九
n5,入
n5,学
n5,高
n5,円
n5,子
n5,外
n5,八
n5,六
n5,下
n5,来
n5,気
n5,小
n5,七
n5,山
n5,話
n5,女
n5,北
n5,午
n5,百
n5,書
n5,先
n5,名
n5,川
n5,千
n5,水
n5,半
n5,男
n5,西
n5,電
n5,校
n5,語
n5,土
n5,木
n5,聞
n5,食
n5,車
n5,何
n5,南
n5,万
n5,毎
n5,白
n5,天
n5,母
n5,火
n5,右
n5,読
n5,友
n5,左
n5,休
n5,父
n5,雨
n4,会
n4,同
n4,事
n4,自
n4,社
n4,発
n4,者
n4,地
n4,業
n4,方
n4,新
n4,場
n4,員
n4,立
n4,開
n4,手
n4,力
n4,問
n4,代
n4,明
n4,動
n4,京
n4,目
n4,通
n4,言
n4,理
n4,体
n4,田
n4,主
n4,題
n4,意
n4,不
n4,作
n4,用
n4,度
n4,強
n4,公
n4,持
n4,野
n4,以
n4,思
n4,家
n4,世
n4,多
n4,正
n4,安
n4,院
n4,心
n4,界
n4,教
n4,文
n4,元
n4,重
n4,近
n4,考
n4,画
n4,海
n4,売
n4,知
n4,道
n4,集
n4,別
n4,物
n4,使
n4,品
n4,計
n4,死
n4,特
n4,私
n4,始
n4,朝
n4,運
n4,終
n4,台
n4,広
n4,住
n4,真
n4,有
n4,口
n4,少
n4,町
n4,料
n4,工
n4,建
n4,空
n4,急
n4,止
n4,送
n4,切
n4,転
n4,研
n4,足
n4,究
n4,楽
n4,起
n4,着
n4,店
n4,病
n4,質
n4,待
n4,試
n4,族
n4,銀
n4,早
n4,映
n4,親
n4,験
n4,英
n4,医
n4,仕
n4,去
n4,味
n4,写
n4,字
n4,答
n4,夜
n4,音
n4,注
n4,帰
n4,古
n4,歌
n4,買
n4,悪
n4,図
n4,週
n4,室
n4,歩
n4,風
n4,紙
n4,黒
n4,花
n4,春
n4,赤
n4,青
n4,館
n4,屋
n4,色
n4,走
n4,秋
n4,夏
n4,習
n4,駅
n4,洋
n4,旅
n4,服
n4,夕
n4,借
n4,曜
n4,飲
n4,肉
n4,貸
n4,堂
n4,鳥
n4,飯
n4,勉
n4,冬
n4,昼
n4,茶
n4,弟
n4,牛
n4,魚
n4,兄
n4,犬
n4,妹
n4,姉
n4,漢
n3,政
n3,議
n3,民
n3,連
n3,対
n3,部
n3,合
n3,市
n3,内
n3,相
n3,定
n3,回
n3,選
n3,米
n3,実
n3,関
n3,決
n3,全
n3,表
n3,戦
n3,経
n3,最
n3,現
n3,調
n3,化
n3,当
n3,約
n3,首
n3,法
n3,性
n3,要
n3,制
n3,治
n3,務
n3,成
n3,期
n3,取
n3,都
n3,和
n3,機
n3,平
n3,加
n3,受
n3,続
n3,進
n3,数
n3,記
n3,初
n3,指
n3,権
n3,支
n3,産
n3,点
n3,報
n3,済
n3,活
n3,原
n3,共
n3,得
n3,解
n3,交
n3,資
n3,予
n3,向
n3,際
n3,勝
n3,面
n3,告
n3,反
n3,判
n3,認
n3,参
n3,利
n3,組
n3,信
n3,在
n3,件
n3,側
n3,任
n3,引
n3,求
n3,所
n3,次
n3,昨
n3,論
n3,官
n3,増
n3,係
n3,感
n3,情
n3,投
n3,示
n3,変
n3,打
n3,直
n3,両
n3,式
n3,確
n3,果
n3,容
n3,必
n3,演
n3,歳
n3,争
n3,談
n3,能
n3,位
n3,置
n3,流
n3,格
n3,疑
n3,過
n3,局
n3,放
n3,常
n3,状
n3,球
n3,職
n3,与
n3,供
n3,役
n3,構
n3,割
n3,費
n3,付
n3,由
n3,説
n3,難
n3,優
n3,夫
n3,収
n3,断
n3,石
n3,違
n3,消
n3,神
n3,番
n3,規
n3,術
n3,備
n3,宅
n3,害
n3,配
n3,警
n3,育
n3,席
n3,訪
n3,乗
n3,残
n3,想
n3,声
n3,念
n3,助
n3,労
n3,例
n3,然
n3,限
n3,追
n3,商
n3,葉
n3,伝
n3,働
n3,形
n3,景
n3,落
n3,好
n3,退
n3,頭
n3,負
n3,渡
n3,失
n3,差
n3,末
n3,守
n3,若
n3,種
n3,美
n3,命
n3,福
n3,望
n3,非
n3,観
n3,察
n3,段
n3,横
n3,深
n3,申
n3,様
n3,財
n3,港
n3,識
n3,呼
n3,達
n3,良
n3,候
n3,程
n3,満
n3,敗
n3,値
n3,突
n3,光
n3,路
n3,科
n3,積
n3,他
n3,処
n3,太
n3,客
n3,否
n3,師
n3,登
n3,易
n3,速
n3,存
n3,飛
n3,殺
n3,号
n3,単
n3,座
n3,破
n3,除
n3,完
n3,降
n3,責
n3,捕
n3,危
n3,給
n3,苦
n3,迎
n3,園
n3,具
n3,辞
n3,因
n3,馬
n3,愛
n3,富
n3,彼
n3,未
n3,舞
n3,亡
n3,冷
n3,適
n3,婦
n3,寄
n3,込
n3,顔
n3,類
n3,余
n3,王
n3,返
n3,妻
n3,背
n3,熱
n3,宿
n3,薬
n3,険
n3,頼
n3,覚
n3,船
n3,途
n3,許
n3,抜
n3,便
n3,留
n3,罪
n3,努
n3,精
n3,散
n3,静
n3,婚
n3,喜
n3,浮
n3,絶
n3,幸
n3,押
n3,倒
n3,等
n3,老
n3,曲
n3,払
n3,庭
n3,徒
n3,勤
n3,遅
n3,居
n3,雑
n3,招
n3,困
n3,欠
n3,更
n3,刻
n3,賛
n3,抱
n3,犯
n3,恐
n3,息
n3,遠
n3,戻
n3,願
n3,絵
n3,越
n3,欲
n3,痛
n3,笑
n3,互
n3,束
n3,似
n3,列
n3,探
n3,逃
n3,遊
n3,迷
n3,夢
n3,君
n3,閉
n3,緒
n3,折
n3,草
n3,暮
n3,酒
n3,悲
n3,晴
n3,掛
n3,到
n3,寝
n3,暗
n3,盗
n3,吸
n3,陽
n3,御
n3,歯
n3,忘
n3,雪
n3,吹
n3,娘
n3,誤
n3,洗
n3,慣
n3,礼
n3,窓
n3,昔
n3,貧
n3,怒
n3,泳
n3,祖
n3,杯
n3,疲
n3,皆
n3,鳴
n3,腹
n3,煙
n3,眠
n3,怖
n3,耳
n3,頂
n3,箱
n3,晩
n3,寒
n3,髪
n3,忙
n3,才
n3,靴
n3,恥
n3,偶
n3,偉
n3,猫
n3,幾
n2,党
n2,協
n2,総
n2,区
n2,領
n2,県
n2,設
n2,改
n2,府
n2,査
n2,委
n2,軍
n2,団
n2,各
n2,島
n2,革
n2,村
n2,勢
n2,減
n2,再
n2,税
n2,営
n2,比
n2,防
n2,補
n2,境
n2,導
n2,副
n2,算
n2,輸
n2,述
n2,線
n2,農
n2,州
n2,武
n2,象
n2,域
n2,額
n2,欧
n2,担
n2,準
n2,賞
n2,辺
n2,造
n2,被
n2,技
n2,低
n2,復
n2,移
n2,個
n2,門
n2,課
n2,脳
n2,極
n2,含
n2,蔵
n2,量
n2,型
n2,況
n2,針
n2,専
n2,谷
n2,史
n2,階
n2,管
n2,兵
n2,接
n2,細
n2,効
n2,丸
n2,湾
n2,録
n2,省
n2,旧
n2,橋
n2,岸
n2,周
n2,材
n2,戸
n2,央
n2,券
n2,編
n2,捜
n2,竹
n2,超
n2,並
n2,療
n2,採
n2,森
n2,競
n2,介
n2,根
n2,販
n2,歴
n2,将
n2,幅
n2,般
n2,貿
n2,講
n2,林
n2,装
n2,諸
n2,劇
n2,河
n2,航
n2,鉄
n2,児
n2,禁
n2,印
n2,逆
n2,換
n2,久
n2,短
n2,油
n2,暴
n2,輪
n2,占
n2,植
n2,清
n2,倍
n2,均
n2,億
n2,圧
n2,芸
n2,署
n2,伸
n2,停
n2,爆
n2,陸
n2,玉
n2,波
n2,帯
n2,延
n2,羽
n2,固
n2,則
n2,乱
n2,普
n2,測
n2,豊
n2,厚
n2,齢
n2,囲
n2,卒
n2,略
n2,承
n2,順
n2,岩
n2,練
n2,軽
n2,了
n2,庁
n2,城
n2,患
n2,層
n2,版
n2,令
n2,角
n2,絡
n2,損
n2,募
n2,裏
n2,仏
n2,績
n2,築
n2,貨
n2,混
n2,昇
n2,池
n2,血
n2,温
n2,季
n2,星
n2,永
n2,著
n2,誌
n2,庫
n2,刊
n2,像
n2,香
n2,坂
n2,底
n2,布
n2,寺
n2,宇
n2,巨
n2,震
n2,希
n2,触
n2,依
n2,籍
n2,汚
n2,枚
n2,複
n2,郵
n2,仲
n2,栄
n2,札
n2,板
n2,骨
n2,傾
n2,届
n2,巻
n2,燃
n2,跡
n2,包
n2,駐
n2,弱
n2,紹
n2,雇
n2,替
n2,預
n2,焼
n2,簡
n2,章
n2,臓
n2,律
n2,贈
n2,照
n2,薄
n2,群
n2,秒
n2,奥
n2,詰
n2,双
n2,刺
n2,純
n2,翌
n2,快
n2,片
n2,敬
n2,悩
n2,泉
n2,皮
n2,漁
n2,荒
n2,貯
n2,硬
n2,埋
n2,柱
n2,祭
n2,袋
n2,筆
n2,訓
n2,浴
n2,童
n2,宝
n2,封
n2,胸
n2,砂
n2,塩
n2,賢
n2,腕
n2,兆
n2,床
n2,毛
n2,緑
n2,尊
n2,祝
n2,柔
n2,殿
n2,濃
n2,液
n2,衣
n2,肩
n2,零
n2,幼
n2,荷
n2,泊
n2,黄
n2,甘
n2,臣
n2,浅
n2,掃
n2,雲
n2,掘
n2,捨
n2,軟
n2,沈
n2,凍
n2,乳
n2,恋
n2,紅
n2,郊
n2,腰
n2,炭
n2,踊
n2,冊
n2,勇
n2,械
n2,菜
n2,珍
n2,卵
n2,湖
n2,喫
n2,干
n2,虫
n2,刷
n2,湯
n2,溶
n2,鉱
n2,涙
n2,匹
n2,孫
n2,鋭
n2,枝
n2,塗
n2,軒
n2,毒
n2,叫
n2,拝
n2,氷
n2,乾
n2,棒
n2,祈
n2,拾
n2,粉
n2,糸
n2,綿
n2,汗
n2,銅
n2,湿
n2,瓶
n2,咲
n2,召
n2,缶
n2,隻
n2,脂
n2,蒸
n2,肌
n2,耕
n2,鈍
n2,泥
n2,隅
n2,灯
n2,辛
n2,磨
n2,麦
n2,姓
n2,筒
n2,鼻
n2,粒
n2,詞
n2,胃
n2,畳
n2,机
n2,膚
n2,濯
n2,塔
n2,沸
n2,灰
n2,菓
n2,帽
n2,枯
n2,涼
n2,舟
n2,貝
n2,符
n2,憎
n2,皿
n2,肯
n2,燥
n2,畜
n2,挟
n2,曇
n2,滴
n2,伺
n1,氏
n1,統
n1,保
n1,第
n1,結
n1,派
n1,案
n1,策
n1,基
n1,価
n1,提
n1,挙
n1,応
n1,企
n1,検
n1,藤
n1,沢
n1,裁
n1,証
n1,援
n1,施
n1,井
n1,護
n1,展
n1,態
n1,鮮
n1,視
n1,条
n1,幹
n1,独
n1,宮
n1,率
n1,衛
n1,張
n1,監
n1,環
n1,審
n1,義
n1,訴
n1,株
n1,姿
n1,閣
n1,衆
n1,評
n1,影
n1,松
n1,撃
n1,佐
n1,核
n1,整
n1,融
n1,製
n1,票
n1,渉
n1,響
n1,推
n1,請
n1,器
n1,士
n1,討
n1,攻
n1,崎
n1,督
n1,授
n1,催
n1,及
n1,憲
n1,離
n1,激
n1,摘
n1,系
n1,批
n1,郎
n1,健
n1,盟
n1,従
n1,修
n1,隊
n1,織
n1,拡
n1,故
n1,振
n1,弁
n1,就
n1,異
n1,献
n1,厳
n1,維
n1,浜
n1,遺
n1,塁
n1,邦
n1,素
n1,遣
n1,抗
n1,模
n1,雄
n1,益
n1,緊
n1,標
n1,宣
n1,昭
n1,廃
n1,伊
n1,江
n1,僚
n1,吉
n1,盛
n1,皇
n1,臨
n1,踏
n1,壊
n1,債
n1,興
n1,源
n1,儀
n1,創
n1,障
n1,継
n1,筋
n1,闘
n1,葬
n1,避
n1,司
n1,康
n1,善
n1,逮
n1,迫
n1,惑
n1,崩
n1,紀
n1,聴
n1,脱
n1,級
n1,博
n1,締
n1,救
n1,執
n1,房
n1,撤
n1,削
n1,密
n1,措
n1,志
n1,載
n1,陣
n1,我
n1,為
n1,抑
n1,幕
n1,染
n1,奈
n1,傷
n1,択
n1,秀
n1,徴
n1,弾
n1,償
n1,功
n1,拠
n1,秘
n1,拒
n1,刑
n1,塚
n1,致
n1,繰
n1,尾
n1,描
n1,鈴
n1,盤
n1,項
n1,喪
n1,伴
n1,養
n1,懸
n1,街
n1,契
n1,掲
n1,躍
n1,棄
n1,邸
n1,縮
n1,還
n1,属
n1,慮
n1,枠
n1,恵
n1,露
n1,沖
n1,緩
n1,節
n1,需
n1,射
n1,購
n1,揮
n1,充
n1,貢
n1,鹿
n1,却
n1,端
n1,賃
n1,獲
n1,郡
n1,併
n1,徹
n1,貴
n1,衝
n1,焦
n1,奪
n1,災
n1,浦
n1,析
n1,譲
n1,称
n1,納
n1,樹
n1,挑
n1,誘
n1,紛
n1,至
