jlpt,kanji,kana,english
n5,会う,あう,to meet
n5,青,あお,blue
n5,青い,あおい,blue
n5,赤,あか,red
n5,赤い,あかい,red
n5,明い,あかるい,bright
n5,秋,あき,autumn
n5,開く,あく,to open;to become open
n5,開ける,あける,to open
n5,上げる,あげる,to give
n5,朝,あさ,morning
n5,朝御飯,あさごはん,breakfast
n5,,あさって,day after tomorrow
n5,足,あし,foot;leg
n5,明日,あした,tomorrow
n5,,あそこ,over there
n5,遊ぶ,あそぶ,to play;to make a visit
n5,暖かい,あたたかい,warm
n5,頭,あたま,head
n5,新しい,あたらしい,new
n5,,あちら,there
n5,暑い,あつい,hot
n5,熱い,あつい,hot to the touch
n5,厚い,あつい,kind;deep;thick
n5,,あっち,over there
n5,後,あと,afterwards
n5,,あなた,you
n5,兄,あに,(humble) older brother
n5,姉,あね,(humble) older sister
n5,,あの,that over there
n5,,あの,um...
n5,,アパート,apartment
n5,,あびる,to bathe;to shower
n5,危ない,あぶない,dangerous
n5,甘い,あまい,sweet
n5,,あまり,not very
n5,雨,あめ,rain
n5,飴,あめ,candy
n5,洗う,あらう,to wash
n5,,ある,to be;to have (used for inanimate objects)
n5,歩く,あるく,to walk
n5,,あれ,that
n5,,いい;よい,good
n5,,いいえ,no
n5,言う,いう,to say
n5,家,いえ,house
n5,,いかが,how
n5,行く,いく,to go
n5,,いくつ,how many?;how old?
n5,,いくら,how much?
n5,池,いけ,pond
n5,医者,いしゃ,medical doctor
n5,,いす,chair
n5,忙しい,いそがしい,busy;irritated
n5,痛い,いたい,painful
n5,一,いち,one
n5,一日,いちにち,first of the month
n5,,いちばん,best;first
n5,,いつ,when
n5,五日,いつか,five days;fifth day
n5,一緒,いっしょ,together
n5,五つ,いつつ,five
n5,,いつも,always
n5,犬,いぬ,dog
n5,今,いま,now
n5,意味,いみ,meaning
n5,妹,いもうと,(humble) younger sister
n5,嫌,いや,unpleasant
n5,入口,いりぐち,entrance
n5,居る,いる,to be;to have (used for people and animals)
n5,要る,いる,to need
n5,入れる,いれる,to put in
n5,色,いろ,colour
n5,,いろいろ,various
n5,上,うえ,on top of
n5,後ろ,うしろ,behind
n5,薄い,うすい,thin;weak
n5,歌,うた,song
n5,歌う,うたう,to sing
n5,生まれる,うまれる,to be born
n5,海,うみ,sea
n5,売る,うる,to sell
n5,煩い,うるさい,noisy;annoying
n5,上着,うわぎ,jacket
n5,絵,え,picture
n5,映画,えいが,movie
n5,映画館,えいがかん,cinema
n5,英語,えいご,English language
n5,,ええ,yes
n5,駅,えき,station
n5,,エレベーター,elevator
n5,鉛筆,えんぴつ,pencil
n5,,おいしい,delicious
n5,多い,おおい,many
n5,大きい,おおきい,big
n5,大きな,おおきな,big
n5,大勢,おおぜい,great number of people
n5,お母さん,おかあさん,(honorable) mother
n5,お菓子,おかし,sweets;candy
n5,お金,おかね,money
n5,起きる,おきる,to get up
n5,置く,おく,to put
n5,奥さん,おくさん,(honorable) wife
n5,お酒,おさけ,alcohol;rice wine
n5,お皿,おさら,plate;dish
n5,伯父;叔父,おじいさん,grandfather;male senior citizen
n5,教える,おしえる,to teach;to tell
n5,伯父;叔父,おじさん,uncle;middle aged gentleman
n5,押す,おす,to push;to stamp something
n5,遅い,おそい,late;slow
n5,お茶,おちゃ,green tea
n5,お手洗い,おてあらい,bathroom
n5,お父さん,おとうさん,(honorable) father
n5,弟,おとうと,younger brother
n5,男,おとこ,Man
n5,男の子,おとこのこ,Boy
n5,一昨日,おととい,day before yesterday
n5,一昨年,おととし,year before last
n5,大人,おとな,Adult
n5,,おなか,stomach
n5,同じ,おなじ,same
n5,お兄さん,おにいさん,(honorable) older brother
n5,お姉さん,おねえさん,(honorable) older sister
n5,,おばあさん,grandmother;female senior-citizen
n5,伯母さん;叔母さん,おばさん,Aunt
n5,お風呂,おふろ,Bath
n5,お弁当,おべんとう,boxed lunch
n5,覚える,おぼえる,to remember
n5,,おまわりさん,friendly term for policeman
n5,重い,おもい,Heavy
n5,,おもしろい,Interesting
n5,泳ぐ,およぐ,to swim
n5,降りる,おりる,to get off;to descend
n5,終る,おわる,to finish
n5,音楽,おんがく,Music
n5,女,おんな,Woman
n5,女の子,おんなのこ,Girl
n5,外国,がいこく,foreign country
n5,外国人,がいこくじん,Foreigner
n5,会社,かいしゃ,Company
n5,階段,かいだん,Stairs
n5,買い物,かいもの,Shopping
n5,買う,かう,to buy
n5,返す,かえす,to return something
n5,帰る,かえる,to go back
n5,,かかる,to take time or money
n5,,かぎ,Key
n5,書く,かく,to write
n5,学生,がくせい,Student
n5,,かける,to call by phone
n5,傘,かさ,Umbrella
n5,貸す,かす,to lend
n5,風,かぜ,Wind
n5,風邪,かぜ,a cold
n5,家族,かぞく,Family
n5,方,かた,person;way of doing
n5,学校,がっこう,School
n5,,カップ,Cup
n5,家庭,かてい,Household
n5,角,かど,a corner
n5,,かばん,bag;basket
n5,花瓶,かびん,a vase
n5,紙,かみ,paper
n5,,カメラ,camera
n5,火曜日,かようび,Tuesday
n5,辛い,からい,Spicy
n5,体,からだ,Body
n5,借りる,かりる,to borrow
n5,軽い,かるい,Light
n5,,カレー,Curry
n5,,カレンダー,calendar
n5,川;河,かわ,River
n5,,かわいい,Cute
n5,漢字,かんじ,Chinese character
n5,木,き,tree;wood
n5,黄色,きいろ,yellow
n5,黄色い,きいろい,yellow
n5,消える,きえる,to disappear
n5,聞く,きく,to hear;to listen to;to ask
n5,北,きた,North
n5,,ギター,Guitar
n5,汚い,きたない,Dirty
n5,喫茶店,きっさてん,coffee lounge
n5,切手,きって,postage stamp
n5,切符,きっぷ,Ticket
n5,昨日,きのう,Yesterday
n5,九,きゅう;く,Nine
n5,牛肉,ぎゅうにく,Beef
n5,牛乳,ぎゅうにゅう,Milk
n5,今日,きょう,Today
n5,教室,きょうしつ,Classroom
n5,兄弟,きょうだい,(humble) siblings
n5,去年,きょねん,last year
n5,嫌い,きらい,Hate
n5,切る,きる,to cut
n5,着る,きる,to put on from the shoulders down
n5,,きれい,pretty;clean
n5,,キロ;キログラム,Kilogram
n5,,キロ;キロメートル,Kilometer
n5,銀行,ぎんこう,Bank
n5,金曜日,きんようび,Friday
n5,薬,くすり,medicine
n5,,ください,Please
n5,果物,くだもの,Fruit
n5,口,くち,mouth;opening
n5,靴,くつ,Shoes
n5,靴下,くつした,Socks
n5,国,くに,Country
n5,曇り,くもり,cloudy weather
n5,曇る,くもる,to become cloudy;to become dim
n5,暗い,くらい,Gloomy
n5,,クラス,Class
n5,,グラム,Gram
n5,来る,くる,to come
n5,車,くるま,car;vehicle
n5,黒,くろ,Black
n5,黒い,くろい,black
n5,警官,けいかん,policeman
n5,今朝,けさ,this morning
n5,消す,けす,to erase;to turn off power
n5,結構,けっこう,splendid;enough
n5,結婚,けっこん,Marriage
n5,月曜日,げつようび,Monday
n5,玄関,げんかん,entry hall
n5,元気,げんき,health;vitality
n5,五,ご,Five
n5,公園,こうえん,Park
n5,交差点,こうさてん,intersection
n5,紅茶,こうちゃ,black tea
n5,交番,こうばん,police box
n5,声,こえ,Voice
n5,,コート,coat;tennis court
n5,,コーヒー,Coffee
n5,,ここ,Here
n5,午後,ごご,afternoon
n5,九日,ここのか,nine days;ninth day
n5,九つ,ここのつ,Nine
n5,午前,ごぜん,morning
n5,答える,こたえる,to answer
n5,,こちら,this person or way
n5,,こっち,this person or way
n5,,コップ,a glass
n5,今年,ことし,this year
